check_date,dataset_name,source_checked,check_result,source_url,notes
2026-05-20,polls,Public search for Maryland 2026 Republican governor primary polls,no_credible_candidate_poll_found,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,PredictionEdge page had no usable candidate poll table; public search found market/news pages but no credible poll row to enter.
2026-05-20,finance,MDCRIS campaign finance database,dynamic_database_checked_via_secondary_reporting,https://campaignfinance.maryland.gov/,MDCRIS is the primary database but current usable GOP finance figures were captured through Maryland Matters reporting on the May 19 pre-primary filings.
2026-05-20,markets,Lines/Polymarket Maryland GOP governor primary market,stale_market_snapshot_available,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Market data available from a published April 5 page but stale relative to May 20 as-of date.
2026-05-20,environment_polls,Public Maryland environment polling from UMBC Institute of Politics and Gonzales Research,related_poll_series_compiled,https://marylandmatters.org/tag/gonzales-poll/,"Compiled Moore approval, direction-of-state, and general-election matchup polling from public poll coverage and linked PDFs."
2026-05-20,events,Public reporting on Trump-alignment signals in the Maryland GOP primary,trump_alignment_signal_checked,https://www.forevercumberland.com/2026/02/03/democratic-party-reacts-to-cox-entry-in-governor-race/,Trump endorsement history and current-campaign alignment signals were reviewed for relevance to candidate viability.
2026-05-20,candidates,Maryland SBE statewide candidate CSV,active_candidate_list_verified,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,SBE candidate list was updated May 20 2026 at 08:45 AM and active Republican tickets were verified.
2026-05-22,candidates,Maryland SBE statewide candidate list and CSV,active_candidate_list_verified_no_change,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,SBE candidate list showed last updated May 22 2026 at 02:45 PM; active Republican governor ticket set remained Brunner Burkindine Cox Hale Larcomb Myrick Oakes Taylor and Wright with Wedekind disqualified.
2026-05-22,markets,Lines/Polymarket Maryland GOP governor primary market,current_market_snapshot_refreshed,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Lines page was refreshed for current displayed market stats: Cox 58 percent Hale 36 percent Myrick 3 percent and non-active Hogan Hershey Bouchat outcomes still listed; market remains external comparison only.
2026-05-22,polls,Public search for Maryland 2026 Republican governor primary polls,no_credible_candidate_poll_found,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,Public search found no credible candidate-level poll; The Banner reported Cox claimed he was over 30 points ahead of Hale in a radio interview but no pollster sample field dates or topline table were available so no poll row was added.
2026-05-22,finance,Baltimore Banner campaign finance cross-check,secondary_reporting_cross_check,https://www.thebanner.com/politics-power/state-government/maryland-governor-race-campaign-fundraising-republican-wes-moore-5KV7EPXRPNFWTIG5EEIBA2O42E/,Banner reporting corroborated the low-dollar GOP finance environment and gave additional context: Hale about 195K dollars donations 90K spent and 109K cash; Cox about 31K donations 31K loans 37K spent and 25K cash; other seven GOP candidates minimal activity.
